SHLWAPI+0x14522		SHLWAPI+0x14522
SHLWAPI+0x14526		SHLWAPI+0x14526
SHLWAPI+0x14528		SHLWAPI+0x14528
SHLWAPI+0x1452a		SHLWAPI+0x1452a
SHLWAPI+0x144c7		SHLWAPI+0x144c7
SHLWAPI+0x144c9		SHLWAPI+0x144c9
SHLWAPI+0x144d7		SHLWAPI+0x144d7
SHLWAPI+0x144db		SHLWAPI+0x144db
SHLWAPI+0x144de		SHLWAPI+0x144de
SHLWAPI+0x144e1		SHLWAPI+0x144e1
SHLWAPI+0x144e4		SHLWAPI+0x144e4
SHELL32+0x99e90		SHELL32+0x99e90
SHELL32+0x99e94		SHELL32+0x99e94
SHELL32+0x99c50		SHELL32+0x99c4c
SHELL32+0x99b90		SHELL32+0x99b90
SHELL32+0x99b94		SHELL32+0x99b94
SHELL32+0x99b97		SHELL32+0x99b97
SHELL32+0x99eb0		SHELL32+0x99eb0
SHELL32+0x99eb4		SHELL32+0x99eb4
SHELL32+0x99ebc		SHELL32+0x99ebc
SHELL32+0x99ec0		SHELL32+0x99ec0
SHELL32+0x99b90		SHELL32+0x99b90
SHELL32+0x99b94		SHELL32+0x99b94
SHELL32+0x99b97		SHELL32+0x99b97
SHELL32+0xa4c20		SHELL32+0xa4c30
SHELL32+0xa4c25		SHELL32+0xa4c35
SHELL32+0xa4c2a		SHELL32+0xa4c3a
SHELL32+0xa4c2c		SHELL32+0xa4c3c
SHLWAPI+0x144e7		SHLWAPI+0x144e7
SHLWAPI+0x144ea		SHLWAPI+0x144ea
SHLWAPI+0x144ec		SHLWAPI+0x144ec
SHLWAPI+0x14513		SHLWAPI+0x14513
SHLWAPI+0x14518		SHLWAPI+0x14518
SHLWAPI+0x1451c		SHLWAPI+0x1451c
SHLWAPI+0x1451d		SHLWAPI+0x1451d
SHELL32+0x99d72		SHELL32+0x99d6e
SHELL32+0x99d75		SHELL32+0x99d71
SHELL32+0x99d77		SHELL32+0x99d73
SHELL32+0x99d7d		SHELL32+0x99d79
SHELL32+0x99d82		SHELL32+0x99d7e
SHELL32+0x99d87		SHELL32+0x99d83
SHELL32+0x99d8a		SHELL32+0x99d86
SHELL32+0x99d8e		SHELL32+0x99d8a
SHELL32+0x99d8f		SHELL32+0x99d8b
SHELL32+0x99c2e		SHELL32+0x99c2e
SHELL32+0x99c32		SHELL32+0x99c32
SHLWAPI+0x11bec		SHLWAPI+0x11bec
SHLWAPI+0x11bee		SHLWAPI+0x11bee
SHLWAPI+0x11bf0		SHLWAPI+0x11bf0
SHLWAPI+0x11bf2		SHLWAPI+0x11bf2
SHLWAPI+0x11bf7		SHLWAPI+0x11bf7
SHLWAPI+0x11bfa		SHLWAPI+0x11bfa
SHELL32+0x97928		SHELL32+0x97900
SHELL32+0x9792a		SHELL32+0x97902
SHELL32+0x9792e		SHELL32+0x97906
SHELL32+0x97931		SHELL32+0x97909
SHELL32+0x97938		SHELL32+0x97910
SHELL32+0x979c0		SHELL32+0x97998
SHELL32+0x979c4		SHELL32+0x9799c
SHELL32+0x979c8		SHELL32+0x979a0
SHELL32+0x979cd		SHELL32+0x979a5
SHELL32+0x979d0		SHELL32+0x979a8
SHELL32+0x97d9f		SHELL32+0x97d6f
SHELL32+0x97da6		SHELL32+0x97d76
SHELL32+0x97da9		SHELL32+0x97d79
SHELL32+0x97dac		SHELL32+0x97d7c
SHELL32+0xa67d0		SHELL32+0xa67d0
SHELL32+0xa67d5		SHELL32+0xa67d5
SHELL32+0xa67da		SHELL32+0xa67da
SHELL32+0xa67db		SHELL32+0xa67db
SHELL32+0xa67df		SHELL32+0xa67df
SHELL32+0xa67e6		SHELL32+0xa67e6
SHELL32+0xa67e9		SHELL32+0xa67e9
SHELL32+0xa67ec		SHELL32+0xa67ec
SHELL32+0xa67ef		SHELL32+0xa67ef
SHELL32+0xa67f3		SHELL32+0xa67f3
SHELL32+0xa67f9		SHELL32+0xa67f9
SHELL32+0xa67fc		SHELL32+0xa67fc
SHELL32+0xa67fe		SHELL32+0xa67fe
SHELL32+0xa6801		SHELL32+0xa6801
SHELL32+0xa6804		SHELL32+0xa6804
SHELL32+0xa6807		SHELL32+0xa6807
comctl32+0x130ff8		comctl32+0x130ff8
comctl32+0x130ffa		comctl32+0x130ffa
comctl32+0x130ffe		comctl32+0x130ffe
comctl32+0x131001		comctl32+0x131001
comctl32+0x131004		comctl32+0x131004
comctl32+0x131006		comctl32+0x131006
comctl32+0x130f88		comctl32+0x130f88
comctl32+0x130f8b		comctl32+0x130f8b
comctl32+0x130f8d		comctl32+0x130f8d
comctl32+0x130f92		comctl32+0x130f92
comctl32+0x130f97		comctl32+0x130f97
comctl32+0x130f9c		comctl32+0x130f9c
comctl32+0x130f9d		comctl32+0x130f9d
comctl32+0x130fa1		comctl32+0x130fa1
comctl32+0x130fa4		comctl32+0x130fa4
comctl32+0x130fa7		comctl32+0x130fa7
comctl32+0x130faa		comctl32+0x130faa
comctl32+0x130fad		comctl32+0x130fad
comctl32+0x130faf		comctl32+0x130faf
comctl32+0x130fb1		comctl32+0x130fb1
comctl32+0x130fb3		comctl32+0x130fb3
comctl32+0x130fb5		comctl32+0x130fb5
comctl32+0x130fb7		comctl32+0x130fb7
comctl32+0x130fb9		comctl32+0x130fb9
comctl32+0x130fbb		comctl32+0x130fbb
comctl32+0x130fbd		comctl32+0x130fbd
comctl32+0x130fbf		comctl32+0x130fbf
comctl32+0x130fc1		comctl32+0x130fc1
comctl32+0x130fc4		comctl32+0x130fc4
comctl32+0x130fc7		comctl32+0x130fc7
comctl32+0x130fcb		comctl32+0x130fcb
comctl32+0x130fce		comctl32+0x130fce
SHELL32+0x97dc0		SHELL32+0x97d90
SHELL32+0x97dc2		SHELL32+0x97d92
SHELL32+0x97dc6		SHELL32+0x97d96
SHELL32+0x97dc9		SHELL32+0x97d99
SHELL32+0x97dcd		SHELL32+0x97d9d
SHELL32+0x97bb0		SHELL32+0x97b7c
SHLWAPI+0x11bbc		SHLWAPI+0x11bbc
SHLWAPI+0x11bbe		SHLWAPI+0x11bbe
SHLWAPI+0x11bc2		SHLWAPI+0x11bc2
SHLWAPI+0x11bc9		SHLWAPI+0x11bc9
SHLWAPI+0x11bcc		SHLWAPI+0x11bcc
SHLWAPI+0x11bd1		SHLWAPI+0x11bd1
SHLWAPI+0x11bd6		SHLWAPI+0x11bd6
SHLWAPI+0x11bd9		SHLWAPI+0x11bd9
SHLWAPI+0x11bdb		SHLWAPI+0x11bdb
SHLWAPI+0x11bde		SHLWAPI+0x11bde
SHLWAPI+0x11be3		SHLWAPI+0x11be3
SHLWAPI+0x11bea		SHLWAPI+0x11bea
SHELL32+0x9a56c		SHELL32+0x9a550
SHELL32+0x9a570		SHELL32+0x9a554
SHELL32+0x99c5c		SHELL32+0x99c58
SHELL32+0x99c3c		SHELL32+0x99c3c
SHELL32+0x99c40		SHELL32+0x99c40
SHELL32+0x99c43		SHELL32+0x99c43
SHELL32+0x9a55c		SHELL32+0x9a540
SHELL32+0x9a560		SHELL32+0x9a544
SHELL32+0x99c5c		SHELL32+0x99c58
SHELL32+0x99c3c		SHELL32+0x99c3c
SHELL32+0x99c40		SHELL32+0x99c40
SHELL32+0x99c43		SHELL32+0x99c43
SHELL32+0x99c00		SHELL32+0x99c00
SHELL32+0x99c04		SHELL32+0x99c04
SHELL32+0x99c07		SHELL32+0x99c07
SHELL32+0x99c0e		SHELL32+0x99c0e
SHELL32+0x99c11		SHELL32+0x99c11
SHELL32+0x99c17		SHELL32+0x99c17
SHELL32+0x99c19		SHELL32+0x99c19
SHELL32+0x99c1c		SHELL32+0x99c1c
SHELL32+0x99c1e		SHELL32+0x99c1e
SHELL32+0x99c24		SHELL32+0x99c24
SHELL32+0x99c28		SHELL32+0x99c28
SHELL32+0x99c2b		SHELL32+0x99c2b
SHELL32+0x9a57c		SHELL32+0x9a560
SHELL32+0x9a580		SHELL32+0x9a564
SHELL32+0x9a583		SHELL32+0x9a567
SHELL32+0x9a586		SHELL32+0x9a56a
SHELL32+0x9a58d		SHELL32+0x9a571
SHELL32+0x9a592		SHELL32+0x9a576
SHELL32+0x9a599		SHELL32+0x9a57d
SHELL32+0x99cb0		SHELL32+0x99cac
SHELL32+0x99cb3		SHELL32+0x99caf
SHELL32+0x99cb7		SHELL32+0x99cb3
SHELL32+0x99cbb		SHELL32+0x99cb7
SHELL32+0x99cbf		SHELL32+0x99cbb
SHELL32+0x99cc3		SHELL32+0x99cbf
SHELL32+0x99cc5		SHELL32+0x99cc1
SHELL32+0x99cc9		SHELL32+0x99cc5
SHELL32+0x99ccc		SHELL32+0x99cc8
SHELL32+0x99ccf		SHELL32+0x99ccb
SHELL32+0x99cd2		SHELL32+0x99cce
SHELL32+0x99cd5		SHELL32+0x99cd1
SHELL32+0x99cd8		SHELL32+0x99cd4
SHELL32+0x99cde		SHELL32+0x99cda
SHELL32+0x99ce1		SHELL32+0x99cdd
